brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
DHIHA,cotton,1299.0,2999.0,B0FZB7TBJD,,4.1,13.0,original maheswari cotton silk saree | kanjivaram pure silk cotton sari with blouse | zari work | tassels | handloom weave
Satrani,silk,1629.0,5429.0,B0FDB8Q4MY,,4.1,153.0,silk weaving banarasi saree with unstitched blouse piece
NEW COLLECTION,banarasi,699.0,799.0,B0FTXRRN2X,,4.2,8.0,red banarasi satin kanjivaram saree silver zari pure soft blend silk lal saree women pure kanchipuram paithani mysore silk pary wedding jacquard new ladies sari with blouse piece
SWORNOF,,1799.0,4999.0,B0D14S9Q3X,,4.2,640.0,swornof
JANOI,kanjivaram,499.0,1799.0,B0FVXXL5M3,,5.0,1.0,pure kanjivaram silk saree soft banarasi style wedding with blouse piece | saree | new sari
Mehrang,kanjivaram,1329.0,3999.0,B0DQL5ZRCC,,3.9,20.0,pure kanjivaram silk saree banarasi silk wedding sarees with blouse piece
BRAHMAKHODAL,silk,999.0,3499.0,B0GHYST66G,,3.0,1.0,crepe muga silk saree bandhani pattern all over rich kanjivaram border floral printed pallu with blouse piece
Avantika Fashion,kanjivaram,441.0,2999.0,B0CRVBJQFP,,3.7,221.0,kanjivaram soft pure silk banarasi sarees with blouse piece
SATIKA VASTRAM,silk,1614.0,2499.0,B0D8FZS3SW,,4.1,12.0,tussar silk saree solid design pure soft thread weaving contrast border and rich pallu with blouse piece
Avantika Fashion,kanjivaram,703.0,2999.0,B0D1GDP1G4,,5.0,2.0,kanjivaram soft semi silk banarasi sarees with blouse piece.
Mehrang,banarasi,1329.0,3999.0,B0FCMR67XF,,4.0,45.0,"banarasi silk kanjivaram saree for wedding with pure zari work, woven design, with unstitched blouse piece"
Sugathari,banarasi,499.0,2499.0,B0DWJS9T63,,4.1,109.0,banarasi saree pure kanjivaram silk saree soft new ladies 2025 design wear pattu sarees latest sadi party sari collections with blouse piece (san pari-222)
SGF11,kanjivaram,1499.0,8999.0,B0F7Y465Z5,,3.0,2.0,kanjivaram pure soft silk saree with unstitched blouse piece (multi colour)
New Season,,499.0,1799.0,B0GLHKZN1X,,4.2,4.0,shasmi
C J Enterprise,kanjivaram,699.0,999.0,B0D7VR8LD2,,3.8,1300.0,pure kanjivaram soft silk saree banarasi style sarees for wedding with blouse piece (almari-51)
Avantika Fashion,kanjivaram,474.0,2499.0,B0DDC6NCR4,,3.6,33.0,kanjivaram soft silk banarasi sarees with blouse piece
New Season,,599.0,1799.0,B0GLGZF583,,5.0,1.0,shasmi
Avantika Fashion,kanjivaram,432.0,2499.0,B0D1G8B81B,,3.8,226.0,kanjivaram soft semi silk banarasi sarees with blouse piece.
Avantika Fashion,kanjivaram,586.0,3999.0,B0BRSGCNTT,,4.0,161.0,kanjivaram soft semi silk banarasi sarees with blouse piece.
Avantika Fashion,kanjivaram,402.0,3999.0,B0C7GV6P8R,,3.7,335.0,kanjivaram soft lichi silk banarasi sarees with blouse piece
