brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
VASTRAMAY,,623,2399,29698564,https://www.myntra.com/lehenga-choli/vastramay/vastramay-girls-printed-mirror-work-ready-to-wear-lehenga--blouse-with-dupatta/29698564/buy,4.5,179,VASTRAMAY Ready to Wear Lehenga Choli
Label Shaurya Sanadhya,,6739,8219,22455414,https://www.myntra.com/lehenga-choli/label+shaurya+sanadhya/label-shaurya-sanadhya-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/22455414/buy,3.8,37,Label Shaurya Sanadhya Ready to Wear Lehenga Blouse With Dupatta
STANWELLS KIDS,,999,2599,33642865,https://www.myntra.com/lehenga-choli/stanwells+kids/stanwells-kids-girls-woven-design-lehenga-with-blouse/33642865/buy,4,6,STANWELLS KIDS Girls Lehenga With Blouse
Tiny Twirls,,880,2199,40193643,https://www.myntra.com/lehenga-choli/tiny+twirls/tiny-twirls-girls-printed-ready-to-wear-bandhani-design-lehenga--blouse/40193643/buy,,,Tiny Twirls Ready to Wear Lehenga Set
MADHURAM,,1799,6999,37992412,https://www.myntra.com/lehenga-choli/madhuram/madhuram-embroidered-thread-work-ready-to-wear-lehenga-/37992412/buy,4.6,65,MADHURAM Premium Lehenga choli
NKV,,880,7999,32718619,https://www.myntra.com/lehenga-choli/nkv/nkv-girls-printed-mirror-work-sweetheart-neck-ready-to-wear-lehenga-with-blouse--dupatta/32718619/buy,4.6,17,NKV Girls Printed Lehenga Choli
Sangria,,824,2499,37955677,https://www.myntra.com/lehenga-choli/sangria/sangria-embroidered-v-neck-flared-lehenga-choli/37955677/buy,4.8,5,Sangria Embroidered Lehenga Choli
LOOKNBOOK ART,,3649,10497,33764128,https://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-floral-embroidered-ready-to-wear-lehenga--unstitched-blouse-with-dupatta/33764128/buy,3.9,123,LOOKNBOOK ART Embroidered Lehenga Choli Set
BAESD,,989,2499,39636316,https://www.myntra.com/lehenga-choli/baesd/baesd-girls-printed-ready-to-wear-lehenga--blouse-with-dupatta/39636316/buy,,,"BAESD Lehenga, Choli and Dupatta"
satyamfab,,407,1699,33380391,https://www.myntra.com/lehenga-choli/satyamfab/satyamfab-girls-embroidered-ready-to-wear-lehenga--blouse-with-dupatta/33380391/buy,4.1,165,satyamfab Ready to Wear Lehenga Blouse With Dupatta
MADHURAM,,2099,7999,33773259,https://www.myntra.com/lehenga-choli/madhuram/madhuram-embroidered-ready-to-wear-lehenga--choli-/33773259/buy,4.6,488,MADHURAM Ready to Wear Lehenga Choli
JAY NAGNATH FAB,,982,7999,34673179,https://www.myntra.com/lehenga-choli/jay+nagnath+fab/jay-nagnath-fab-girls-embellished-mirror-work-ready-to-wear-lehenga--blouse-with-dupatta/34673179/buy,3.5,457,JAY NAGNATH FAB Ready to Wear Lehenga Blouse With Dupatta
BAESD,,1799,4599,35493493,https://www.myntra.com/lehenga-choli/baesd/baesd-embroidered-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/35493493/buy,2.8,23,BAESD Semi-Stitched Lehenga Blouse
JOVK DESIGN,,824,2499,31220842,https://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-ready-to-wear-lehenga--choli/31220842/buy,4.2,3,JOVK DESIGN Girl Embroidered Lehenga Choli
pspeaches,,916,4583,17907640,https://www.myntra.com/lehenga-choli/pspeaches/pspeaches-girls-magenta--blue-printed-ready-to-wear-lehenga--blouse-with-dupatta/17907640/buy,4.1,666,pspeaches Ready to Wear Lehenga Blouse With Dupatta
KALINI,,989,2499,40068696,https://www.myntra.com/lehenga-choli/kalini/kalini-girls-embellished-sequinned-ready-to-wear-lehenga-/40068696/buy,,,KALINI Girls Embroidery Lehenga Skirt
ETHNIC PLUS,,4299,9999,39632509,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embellished-sequinned-ready-to-wear-lehenga--blouse-with-dupatta/39632509/buy,,,ETHNIC PLUS Semi-Stitched Lehenga Choli
