brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
Anouk,,1471,4599,39779351,https://www.myntra.com/kurta-sets/anouk/anouk-women-floral-printed-regular-pure-cotton-kurta-with-churidar--with-dupatta/39779351/buy,4.5,11,Anouk Women Printed Kurta with Churidar With Dupatta
Moda Rapido,,701,2599,32995548,https://www.myntra.com/kurta-sets/moda+rapido/moda-rapido-women-floral-embroidered-regular-thread-work-top-with-trousers/32995548/buy,3.8,430,Moda Rapido Women Embroidered Top with Trousers
Mizaz,,1199,4999,36369144,https://www.myntra.com/kurta-sets/mizaz/mizaz-women-solid-cotton-anarkali-kurta-with-trousers--dupatta/36369144/buy,4.2,411,Mizaz Women Solid Kurta Set
Indo Era,,1799,7999,29629130,https://www.myntra.com/kurta-sets/indo+era/indo-era-ethnic-motifs-embroidered-regular-thread-work-kurta-with-salwar--dupatta/29629130/buy,4.4,123,Indo Era Embroidered Kurta Set
Moda Rapido,,1439,5999,35982444,https://www.myntra.com/kurta-sets/moda+rapido/moda-rapido-women-ethnic-motifs-printed-regular-kurta--trouser-with-dupatta/35982444/buy,3.8,95,Moda Rapido Women Printed Kurta Set
HERE&NOW,,1393,4169,40223525,https://www.myntra.com/kurta-sets/here%26now/herenow-women-ethnic-motifs-embroidered-regular-kurta-with-palazzos--with-dupatta/40223525/buy,,,HERE&NOW Women Embroidered Kurta with Palazzos With Dupatta
GoSriKi,,868,4345,30800798,https://www.myntra.com/kurta-sets/gosriki/gosriki-floral-printed-round-neck-anarkali-kurta-with-trousers--dupatta/30800798/buy,3.8,51,GoSriKi Printed Anarkali Kurta Set
GoSriKi,,1042,4345,31274675,https://www.myntra.com/kurta-sets/gosriki/gosriki-floral-printed-v-neck-three-quarter-sleeves-kurta-with-trouser-with-dupatta/31274675/buy,3.9,26,GoSriKi Floral Printed Kurta Set
AVYCO,Cotton,617,2999,26635552,https://www.myntra.com/kurta-sets/avyco/avyco-floral-printed-straight-pure-cotton-kurta-with-trousers/26635552/buy,4.2,25,AVYCO Straight Cotton Kurta Set
Aaghnya,,950,4345,38979474,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/38979474/buy,3.2,225,Aaghnya Women Embroidered Kurta with Trousers With Dupatta
all about you,,1079,2999,39842238,https://www.myntra.com/kurta-sets/all+about+you/all-about-you-women-floral-printed-empire-kurta-with-trousers--with-dupatta/39842238/buy,,,all about you Women Printed Kurta Set
Indo Era,,1299,3799,40227144,https://www.myntra.com/kurta-sets/indo+era/indo-era-women-printed-regular-pure-cotton-kurta-with-trousers/40227144/buy,,,Indo Era Women Printed Kurta with Trousers
Sangria,,1264,5499,30913354,https://www.myntra.com/kurta-sets/sangria/sangria-floral-embroidered-sequinned-straight-kurta--trouser-with-dupatta/30913354/buy,3.8,7,Sangria Embroidered Kurta Set
